ceg,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2024_01,2024_02,2024_03
UTE.GN.MA.030800-5.01,343044.412,186514.711,240407.867,227273.627,87540.756,298426.299,366236.8,367989.432,348772.351,352143.3644,347658.091,358168.045,354502.885,173966.988,0.0,4248.67,29318.425,348341.372,374476.995,375788.503,329920.601,347526.166,348943.418,341178.836,373191.676,23784.5,0.0,76699.355,6459.213,351379.983,370386.697,357521.7,358840.624,348187.813,357302.655,299.31,233856.601,12361.355,0.0,0.0,3547.539,343664.615,368645.897,363083.237,345322.575,363486.19,352910.204,356721.443,376680.647,269771.874,28975.909,2.016,6170.243,352786.814,327749.479,363360.207,341937.022,364992.597,356534.907,346239.745,372262.498,57720.874,833.1310000000001,174555.329,288873.597,224873.824,233628.161,370498.224,353687.447,347438.113,353438.319,164379.035,0.0,0.0,0.0,4892.955,3441.685,343919.847,361639.494,366869.575,329620.175,362520.027,353827.241,70678.752,121959.996,3.244,0.0,5866.358,4446.575,355008.603,368979.756,353435.469,319702.324,323176.793,345592.82,157845.951,368764.644,371.926,0.0
UTE.GN.MA.030202-3.01,93618.699,99940.735,71795.719,72651.602,183609.481,141335.531,202439.472,209940.627,130290.86,238307.087,224069.21,173384.96,60746.126,13829.086,748.553,0.0,21717.6,100264.65,239658.087,203943.925,155667.393,237120.546,220776.072,238403.427,201507.329,0.0,0.53,4983.05,626.177,138611.58,239087.624,243528.356,224928.001,186082.988,0.015,0.0,0.0,152.74,83.493,4538.462,1798.626,0.0,162136.978,190837.523,227502.201,223637.072,230207.775,233926.794,237584.455,168242.706,14750.076,0.275,0.0,0.0,7449.666,0.0,700.784,185726.587,219040.806,232300.021,233271.643,181075.605,0.0,1439.357,187162.655,232334.992,239616.724,237020.668,230003.151,239593.417,208470.506,92699.898,0.0,0.0,0.0,0.0,0.0,126037.708,65571.769,34310.418,86877.037,73006.278,58630.306,174846.868,80958.011,0.0,0.0,114405.468,1.563,157553.173,40087.74,17347.217,0.0,8665.925,78462.315,82471.535,113405.008,55656.185,0.0
UTE.GN.MA.030203-1.01,15462.911,22078.363,1663.983,0.0,167885.934,41877.599,205845.097,210966.687,131230.097,239446.289,225268.782,175475.297,60591.735,13905.675,752.302,0.0,18844.817,101067.681,240683.335,199431.72,155713.773,237088.945,220427.932,238619.149,205062.197,0.0,0.0,1453.33,694.5029999999999,152800.245,239928.001,237695.636,231744.826,200987.664,1.679,0.0,0.0,0.0,0.0,970.14,0.0,0.0,162809.39,191481.854,227196.156,223928.984,229731.13,233364.167,235852.527,161354.795,14603.177,2853.89,3256.964,700.001,14761.165,712.823,6.558,212343.339,223263.613,232146.159,234947.988,189342.2,0.0,1063.325,185487.618,231542.028,239656.267,234858.444,231628.066,238136.314,204427.25,92729.164,0.0,0.0,0.0,1.276,2.1,190547.176,3081.974,43084.322,50245.978,72733.292,56898.085,173892.119,83414.626,0.87,0.0,108191.171,0.0,157347.729,36810.429,18090.948,0.0,8426.086,84737.23,81990.842,111288.557,56081.206,0.0
UTE.GN.MA.030196-5.01,101804.628,72130.803,68100.682,56371.13,24216.071,94870.314,74784.182,48044.706,53621.214,119173.0998,114718.081,20205.701,0.0,0.0,0.0,0.0,0.0,2078.79,126603.899,108121.745,81748.57,116305.968,98099.914,113673.175,759.441,0.0,0.04,766.49,0.0,75156.484,125834.111,127644.74,117391.419,105901.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.571,0.0,25916.33,62252.718,112639.789,119612.434,70857.342,125697.459,793.997,2230.133,187.3,7.035,0.0,0.0,0.0,6.193,94251.824,80781.843,73379.811,123740.523,69295.426,0.0,862.3399999999999,57976.139,122822.654,126511.542,126862.564,120224.772,125851.974,110011.907,49124.902,0.0,0.0,1259.675,0.0,1933.982,123238.325,27741.451,126486.047,108921.6,4.136,0.0,0.0,30855.8,0.0,818.585,419.328,0.0,37007.934,1111.521,2.7840000000000003,581.0,0.0,32322.973,45065.974,47178.064,0.0,0.0
UTE.GN.MA.031193-6.01,30847.327,25177.256,8671.294,13641.17,29664.429,34050.137,32636.482,32261.532,2282.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15763.156,24643.604,38830.658,37386.327,39006.214,30810.121,88.88,0.0,12.874,481.668,17929.0,24826.533,31614.442,39449.383,41077.141,36122.093,0.0,0.0,0.0,0.0,0.0,111.481,0.0,27651.146,31914.993,34835.013,29737.326,38364.828,38875.958,39822.339,10471.945,0.0,0.0,0.0,185.753,680.338,0.0,6594.8330000000005,40316.162,37098.216,35887.261,27047.565,22784.098,0.0,4051.302,21964.325,31431.771,39154.488,39344.016,38844.707,38349.43,35729.659,16829.441,0.0,0.0,25.529,0.0,160.171,24878.917,8770.71,32593.531,33718.708,0.0,0.0,9730.499,13579.15,0.0,0.0,13866.275,102.506,11213.302,0.0,0.0,0.0,1628.95,18206.387,18970.579,24051.941,6185.402,0.0
UTE.GN.MA.040562-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61946.133,193041.944,91618.348,1.7759999999999998,4.416,117816.302,4.886,161870.966,36206.554,18749.84,0.0,9444.706,89509.575,91802.596,143488.824,67567.331,0.022
UTE.GN.RR.044619-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7588.813,18508.778,14920.843,43610.931,44189.345,37286.977,45364.536,45365.762,49102.576,48296.46,49592.258,54989.66,55203.436,62652.051,55958.938,58232.825,60001.398,62911.986,67267.224,63666.321,70752.232,71210.583,76678.371,77214.946,71455.662,24348.919
UTE.GN.CE.028357-6.01,235780.001,183650.415,196519.02,155704.91,57759.969,146290.491,98859.875,57735.468,89375.601,121180.793,116966.362,124291.29,201999.759,164609.904,243335.733,217776.665,188946.054,197793.937,239249.382,242753.242,133489.51,0.0,0.0,204599.216,226850.018,198996.556,0.0,0.0,0.0,139150.139,0.0,0.0,0.0,0.0,0.0,0.09,9457.03,113603.605,48098.21,44103.121,41575.58,0.0,80629.18000000001,160475.462,216278.958,221670.555,177634.078,74119.29,117389.457,99924.92,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,7273.467,238499.788,135437.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45406.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49616.162,26905.652,64.944,0.0,0.0
UTE.GN.SE.032228-8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.153,37904.998,63753.522,253991.263,230991.831,282031.602,0.004,13319.851,17455.392,160242.075,0.002,0.002,23476.491,0.008,0.0,0.0,0.0,0.0,10515.322,647143.476,777943.072,744160.022,760143.646,771352.831,922658.873,790368.622,3692.316,11231.166,0.0,0.0,0.0,0.0,1767.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTE.CM.MA.029700-3.01,138860.647,210415.302,165368.151,152221.062,38250.987,230485.098,194123.529,222108.33,110630.149,0.0,159496.272,120025.804,3434.292,17389.126,3149.332,0.003,17220.756,84254.212,257211.074,257272.406,258269.992,263992.514,254437.361,252277.238,2013.634,56750.215,0.001,0.002,0.002,192426.015,121584.557,258322.055,251206.834,236242.287,0.0,42027.11,1555.54,0.0,28764.3,0.0,0.0,0.0,204413.329,197068.555,255634.145,239913.954,253657.695,261503.186,260708.163,154771.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224557.975,221078.613,254089.303,187001.854,0.0,0.0,4882.252,115961.197,228476.233,216944.296,235342.115,231125.047,261787.015,216338.665,79137.858,0.0,0.0,0.0,0.0,3013.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32913.744,3020.391,0.0,0.0
