,ceg,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12,2024_01,2024_02,2024_03
0,UTE.GN.MA.030800-5.01,0.0,0.0,0.0,4892.955,3441.685,343919.847,361639.494,366869.575,329620.175,362520.027,353827.241,70678.752,121959.996,3.244,0.0,5866.358,4446.575,355008.603,368979.756,353435.469,319702.324,323176.793,345592.82,157845.951,368764.644,371.926,0.0
1,UTE.GN.MA.030202-3.01,0.0,0.0,0.0,0.0,0.0,126037.708,65571.769,34310.418,86877.037,73006.278,58630.306,174846.868,80958.011,0.0,0.0,114405.468,1.563,157553.173,40087.74,17347.217,0.0,8665.925,78462.315,82471.535,113405.008,55656.185,0.0
2,UTE.GN.MA.030203-1.01,0.0,0.0,0.0,1.276,2.1,190547.176,3081.974,43084.322,50245.978,72733.292,56898.085,173892.119,83414.626,0.87,0.0,108191.171,0.0,157347.729,36810.429,18090.948,0.0,8426.086,84737.23,81990.842,111288.557,56081.206,0.0
3,UTE.GN.MA.030196-5.01,0.0,0.0,1259.675,0.0,1933.982,123238.325,27741.451,126486.047,108921.6,4.136,0.0,0.0,30855.8,0.0,818.585,419.328,0.0,37007.934,1111.521,2.7840000000000003,581.0,0.0,32322.973,45065.974,47178.064,0.0,0.0
4,UTE.GN.MA.031193-6.01,0.0,0.0,25.529,0.0,160.171,24878.917,8770.71,32593.531,33718.708,0.0,0.0,9730.499,13579.15,0.0,0.0,13866.275,102.506,11213.302,0.0,0.0,0.0,1628.95,18206.387,18970.579,24051.941,6185.402,0.0
5,UTE.GN.MA.040562-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61946.133,193041.944,91618.348,1.7759999999999998,4.416,117816.302,4.886,161870.966,36206.554,18749.84,0.0,9444.706,89509.575,91802.596,143488.824,67567.331,0.022000000000000002
6,UTE.GN.RR.044619-0.01,0.0,7588.813,18508.778,14920.843,43610.931,44189.345,37286.977,45364.536,45365.762,49102.576,48296.46,49592.258,54989.659999999996,55203.436,62652.051,55958.938,58232.825,60001.398,62911.986,67267.224,63666.321,70752.232,71210.583,76678.371,77214.946,71455.662,24348.919
7,UTE.GN.CE.028357-6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49616.162,26905.652,64.944,0.0,0.0
8,UTE.GN.SE.032228-8.01,790368.622,3692.316,11231.166,0.0,0.0,0.0,0.0,1767.6100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,UTE.CM.MA.029700-3.01,0.0,0.0,0.0,0.0,3013.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32913.744,3020.391,0.0,0.0
10,UTE.CM.CE.030098-5.01,0.0,0.0,0.0,3246.727,0.0,0.0,0.0,2993.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61294.081,42487.589,0.0,0.0,0.0
