nome;coluna;3T23;2T23;1T23;4T22;3T22;2T22;1T22;4T21;3T21;2T21;1T21;4T20;3T20;2T20;1T20;4T19;3T19;2T19;1T19;4T18;3T18;2T18;1T18;4T17;3T17;2T17;1T17;4T16;3T16;2T16;1T16
Itaqui;Disponibilidade (%);100;99;100;100;100;94;100;95;86;77;24;94;100;100;96;99;97;100;100;100;81;85;100;99;98;97;88;55;73;71;87
Itaqui;Despacho (%);0;0;0;0;0;0;0;73;99;49;25;94;0;0;55;97;84;0;4;35;99;24;8;99;99;16;4;82;89;68;71
Itaqui;Geração Líquida (GWh);0;0;0;0;0;3;0;494;606;308;165;640;0;0;367;668;582;0;27;247;559;170;52;683;686;90;21;246;457;416;454
Itaqui;Geração Bruta (GWh);0;0;0;0;0;3;0;548;683;349;187;700;0;0;415;755;657;0;31;279;632;193;59;772;775;102;24;280;521;473;516
Itaqui;Geração para ACR (%);0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.7;100.0;98.5;99.7;98.7;;;99.4;100.0;100.0;;99.9;;;;;;;;;;;;
Itaqui;Geração para ACL (%);0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.3;0.0;1.5;0.3;1.3;;;0.6;0.0;0.0;;0.1;;;;;;;;;;;;
Itaqui;Receita Variável Líquida (R$/MWh)1;;;;0;0;146;0;538;345;227;178;160;;;125;134;118;;163;207;198;173;163;159;148;116;129;163;109;103;105
Itaqui;CVU (R$/MWh)2;294;363;462;699;947;738;461;536;343;229;185;162;142;128;122;133;118;134;150;208;198;176;163;159;145;132;145;143;106;97;102
Pecém II;Disponibilidade (%);100;99;100;100;74;100;99;100;94;100;99;96;100;100;98;86;43;96;99;92;94;99;100;86;53;88;96;99;99;97;95
Pecém II;Despacho (%);0;0;0;0;0;0;0;71;97;42;54;84;0;0;50;98;88;43;51;45;98;48;77;97;99;83;84;30;51;91;86
Pecém II;Geração Líquida (GWh);0;0;0;0;3;3;0;505;652;299;371;582;0;0;337;605;219;289;350;278;658;338;522;608;360;534;512;218;366;626;595
Pecém II;Geração Bruta (GWh);0;0;0;0;3;3;0;564;731;335;416;634;0;0;379;674;245;324;393;311;739;381;583;680;402;602;578;245;410;699;664
Pecém II;Geração para ACR (%);0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;99.9;98.8;;;99.5;100.0;100.0;2.9;58.8;;;;;;;;;;;;
Pecém II;Geração para ACL (%);0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;0.1;1.2;;;0.5;0.0;0.0;97.1;41.2;;;;;;;;;;;;
Pecém II;Receita Variável Líquida (R$/MWh)1;;;;0;100;262;0;568;348;248;202;165;;;149;137;125;194;215;244;209;175;171;165;174;137;150;163;113;118;128
Pecém II;CVU (R$/MWh)2;301;370;469;707;1032;781;468;544;347;237;193;167;147;132;127;138;117;142;163;201;203;164;163;163;151;133;151;147;110;102;107
Parnaíba I;Disponibilidade (%);100;98;100;100;100;99;99;97;96;89;98;93;87;89;96;94;98;99;100;99;98;89;99;94;82;63;97;93;83;95;89
Parnaíba I;Despacho (%);8;35;11;36;29;21;0;75;99;59;60;94;2;0;60;98;80;0;0;28;99;22;29;99;99;17;9;92;90;92;77
Parnaíba I;Geração Líquida (GWh);107;508;157;579;268;302;0;1040;1368;807;807;1254;23;7;804;1328;1123;5;0;373;1364;287;392;1344;1154;234;145;1233;1053;1264;1021
Parnaíba I;Geração Bruta (GWh);113;536;165;610;282;316;0;1076;1412;839;838;1304;24;7;832;1375;1162;7;0;387;1417;300;407;1393;1196;242;150;1276;1090;1329;1074
Parnaíba I;Geração para ACR (%);0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.1;77.2;77.0;77.0;75.8;0.0;0.0;77.0;91.6;97.4;0.0;76.9;;;;;;;;;;;;
Parnaíba I;Geração para ACL (%);100.0;100.0;100.0;100.0;100.0;100.0;0.0;22.9;22.8;23.0;23.0;24.2;100.0;100.0;23.0;8.4;2.6;100.0;23.1;;;;;;;;;;;;
Parnaíba I;Receita Variável Líquida (R$/MWh)1;218;324;184;146;201;428;0;336;275;186;147;196;;;135;115;98;193;;139;127;121;100;111;111;108;130;105;121;88;92
Parnaíba I;CVU (R$/MWh)2;124;121;253;343;439;440;275;323;212;167;144;155;90;99;94;112;96;111;117;132;119;112;98;102;105;111;134;104;100;78;92
Parnaíba II;Disponibilidade (%);97;100;99;100;97;88;95;93;84;75;39;94;93;94;98;95;96;99;100;98;97;79;100;92;95;85;95;93;96;;
Parnaíba II;Despacho (%);91;32;10;69;93;32;0;81;93;79;86;98;97;33;62;100;99;32;23;66;100;41;36;100;100;35;54;100;100;;
Parnaíba II;Geração Líquida (GWh);986;345;116;744;993;316;0;816;913;653;409;1005;974;340;643;1023;1028;332;234;672;1033;411;378;988;1028;364;503;1009;1033;;
Parnaíba II;Geração Bruta (GWh);1043;366;122;788;1047;353;0;866;958;689;431;1068;1033;359;675;1074;1079;349;247;707;1088;436;397;1038;1080;382;528;1059;1083;6;0
Parnaíba II;Geração para ACR (%);100.0;97.2;0.0;89.0;99.0;97.7;0.0;83.1;100.0;100.0;96.5;98.7;99.8;97.6;91.5;99.0;98.6;99.0;95.8;;;;;;;;;;;;
